week,date,home,score,away,xG,xG_1,venue,referee,home_goals,away_goals,season_start,result,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,home_rolling_avg_goals,away_rolling_avg_goals,home_rolling_avg_xG,away_rolling_avg_xG
12,2018-11-10,Getafe,0–1,Valencia,1.5,2.2,Coliseum Alfonso Pérez,Ricardo de Burgos,0.0,1.0,2018,Away win,False,False,True,False,False,False,False,1.2,0.6,1.1,1.3
12,2018-11-10,Atlético Madrid,3–2,Athletic Club,1.1,1.9,Estadio Wanda Metropolitano,José Sánchez,3.0,2.0,2018,Home win,False,False,True,False,False,False,False,1.0,0.6,0.9199999999999999,0.9199999999999999
12,2018-11-10,Girona,0–0,Leganés,0.4,1.1,Estadi Municipal de Montilivi,Adrián Cordero,0.0,0.0,2018,Draw,False,False,True,False,False,False,False,1.2,0.6,1.2999999999999998,1.02
12,2018-11-11,Alavés,2–1,Huesca,1.3,0.9,Estadio de Mendizorroza,José Luis Munuera,2.0,1.0,2018,Home win,False,False,False,True,False,False,False,1.2,0.6,1.08,0.9199999999999999
12,2018-11-11,Barcelona,3–4,Betis,3.8,2.3,Camp Nou,Antonio Matéu Lahoz,3.0,4.0,2018,Away win,False,False,False,True,False,False,False,2.8,0.8,2.2,1.02
12,2018-11-11,Sevilla,2–1,Espanyol,4.1,0.8,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,2.0,1.0,2018,Home win,False,False,False,True,False,False,False,1.8,1.8,1.6199999999999999,1.52
12,2018-11-11,Rayo Vallecano,2–2,Villarreal,2.3,0.9,Estadio del Rayo Vallecano,José González,2.0,2.0,2018,Draw,False,False,False,True,False,False,False,1.0,0.8,1.06,1.7399999999999998
12,2018-11-11,Celta Vigo,2–4,Real Madrid,0.9,2.5,Estadio de Balaídos,Alberto Undiano,2.0,4.0,2018,Away win,False,False,False,True,False,False,False,1.8,0.8,1.0,1.8399999999999999
13,2018-11-23,Leganés,1–0,Alavés,0.9,0.4,Estadio Municipal de Butarque,Hsu Jason,1.0,0.0,2018,Home win,True,False,False,False,False,False,False,0.6,1.4,1.1400000000000001,1.16
13,2018-11-24,Atlético Madrid,1–1,Barcelona,0.2,0.6,Estadio Wanda Metropolitano,Jesús Gil,1.0,1.0,2018,Draw,False,False,True,False,False,False,False,1.6,3.2,0.9800000000000001,2.32
13,2018-11-24,Huesca,2–2,Levante,2.8,1.0,Estadio El Alcoraz,Daniel Ask,2.0,2.0,2018,Draw,False,False,True,False,False,False,False,0.6,1.4,0.8,1.22
13,2018-11-24,Eibar,3–0,Real Madrid,2.8,1.1,Estadio Municipal de Ipurúa,Juan Martínez,3.0,0.0,2018,Home win,False,False,True,False,False,False,False,1.2,1.6,1.58,2.1
13,2018-11-24,Valencia,3–0,Rayo Vallecano,1.9,0.8,Estadio de Mestalla,Pablo González,3.0,0.0,2018,Home win,False,False,True,False,False,False,False,0.6,1.4,1.56,1.44
13,2018-11-25,Athletic Club,1–1,Getafe,0.6,2.0,San Mamés,Ignacio Iglesias,1.0,1.0,2018,Draw,False,False,False,True,False,False,False,0.8,1.0,1.02,1.1600000000000001
13,2018-11-25,Sevilla,1–0,Valladolid,1.3,0.7,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,1.0,0.0,2018,Home win,False,False,False,True,False,False,False,1.6,0.6,2.04,0.74
13,2018-11-25,Espanyol,1–3,Girona,2.4,2.2,RCDE Stadium,Alejandro Hernández,1.0,3.0,2018,Away win,False,False,False,True,False,False,False,1.6,1.0,1.3800000000000001,1.04
13,2018-11-25,Villarreal,2–1,Betis,0.9,0.9,Estadio de la Cerámica,Eduardo Prieto,2.0,1.0,2018,Home win,False,False,False,True,False,False,False,1.2,1.4,1.36,1.14
13,2018-11-26,Real Sociedad,2–1,Celta Vigo,1.9,0.5,Estadio Municipal de Anoeta,Mario Melero,2.0,1.0,2018,Home win,False,True,False,False,False,False,False,1.2,2.0,0.9800000000000001,1.08
14,2018-11-30,Rayo Vallecano,1–0,Eibar,1.2,1.0,Estadio del Rayo Vallecano,Alberto Undiano,1.0,0.0,2018,Home win,True,False,False,False,False,False,False,1.2,1.2,1.52,1.8
14,2018-12-01,Real Madrid,2–0,Valencia,0.8,0.8,Estadio Santiago Bernabéu,José González,2.0,0.0,2018,Home win,False,False,True,False,False,False,False,1.6,1.0,2.16,1.6400000000000001
14,2018-12-01,Getafe,3–0,Espanyol,1.4,1.1,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,3.0,0.0,2018,Home win,False,False,True,False,False,False,False,1.2,1.2,1.34,1.3800000000000001
