week,date,day,home,score,away,xG,xG_1,venue,referee
16,2018-12-15,Sat,Valladolid,2–3,Atlético Madrid,0.8,1.9,Estadio Municipal José Zorrilla,Alberto Undiano
16,2018-12-15,Sat,Real Madrid,1–0,Rayo Vallecano,1.2,0.7,Estadio Santiago Bernabéu,Ricardo de Burgos
16,2018-12-15,Sat,Eibar,1–1,Valencia,1.6,2.1,Estadio Municipal de Ipurúa,Adrián Cordero
16,2018-12-16,Sun,Sevilla,2–0,Girona,2.1,1.0,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra
16,2018-12-16,Sun,Espanyol,1–3,Betis,0.6,1.7,RCDE Stadium,José Sánchez
16,2018-12-16,Sun,Huesca,2–2,Villarreal,4.2,1.7,Estadio El Alcoraz,David Medié
16,2018-12-16,Sun,Levante,0–5,Barcelona,1.0,3.7,Estadio Ciudad de Valencia,José González
16,2018-12-17,Mon,Alavés,0–0,Athletic Club,0.5,0.3,Estadio de Mendizorroza,Antonio Matéu Lahoz
17,2018-12-21,Fri,Girona,1–1,Getafe,1.4,0.6,Estadi Municipal de Montilivi,Hsu Jason
17,2018-12-21,Fri,Real Sociedad,0–1,Alavés,1.1,0.8,Estadio Municipal de Anoeta,Daniel Ask
17,2018-12-22,Sat,Betis,1–1,Eibar,1.5,2.3,Estadio Benito Villamarín,Carlos del Cerro
17,2018-12-22,Sat,Atlético Madrid,1–0,Espanyol,1.0,0.8,Estadio Wanda Metropolitano,Mario Melero
17,2018-12-22,Sat,Barcelona,2–0,Celta Vigo,1.4,0.6,Camp Nou,Eduardo Prieto
17,2018-12-22,Sat,Athletic Club,1–1,Valladolid,1.1,0.6,San Mamés,José Sánchez
17,2018-12-23,Sun,Valencia,2–1,Huesca,3.2,2.3,Estadio de Mestalla,Jesús Gil
17,2018-12-23,Sun,Leganés,1–1,Sevilla,1.3,0.7,Estadio Municipal de Butarque,Alejandro Hernández
17,2018-12-23,Sun,Rayo Vallecano,2–1,Levante,2.5,1.0,Estadio del Rayo Vallecano,Ignacio Iglesias
17,2019-01-03,Thu,Villarreal,2–2,Real Madrid,1.2,1.6,Estadio de la Cerámica,Pablo González
18,2019-01-04,Fri,Levante,2–2,Girona,1.6,1.4,Estadio Ciudad de Valencia,Alberto Undiano
18,2019-01-04,Fri,Espanyol,1–0,Leganés,1.3,0.4,RCDE Stadium,José González
18,2019-01-05,Sat,Valladolid,0–1,Rayo Vallecano,1.8,1.0,Estadio Municipal José Zorrilla,Adrián Cordero
18,2019-01-05,Sat,Alavés,2–1,Valencia,1.9,1.1,Estadio de Mendizorroza,David Medié
18,2019-01-05,Sat,Huesca,2–1,Betis,1.5,1.1,Estadio El Alcoraz,Ricardo de Burgos
18,2019-01-06,Sun,Eibar,0–0,Villarreal,1.8,1.2,Estadio Municipal de Ipurúa,Santiago Jaime
18,2019-01-06,Sun,Sevilla,1–1,Atlético Madrid,1.4,0.7,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz
18,2019-01-06,Sun,Real Madrid,0–2,Real Sociedad,2.6,2.3,Estadio Santiago Bernabéu,José Luis Munuera
18,2019-01-06,Sun,Getafe,1–2,Barcelona,1.2,1.5,Coliseum Alfonso Pérez,Guillermo Cuadra
18,2019-01-07,Mon,Celta Vigo,1–2,Athletic Club,1.5,1.8,Estadio de Balaídos,Juan Martínez
19,2019-01-11,Fri,Rayo Vallecano,4–2,Celta Vigo,2.0,1.3,Estadio del Rayo Vallecano,Hsu Jason
19,2019-01-12,Sat,Leganés,1–0,Huesca,2.0,0.5,Estadio Municipal de Butarque,Mario Melero
19,2019-01-12,Sat,Valencia,1–1,Valladolid,3.5,0.2,Estadio de Mestalla,Ignacio Iglesias
19,2019-01-12,Sat,Girona,1–1,Alavés,0.6,1.1,Estadi Municipal de Montilivi,José Sánchez
19,2019-01-12,Sat,Villarreal,1–2,Getafe,2.3,0.9,Estadio de la Cerámica,Daniel Ask
19,2019-01-13,Sun,Atlético Madrid,1–0,Levante,2.5,0.7,Estadio Wanda Metropolitano,Eduardo Prieto
19,2019-01-13,Sun,Athletic Club,2–0,Sevilla,0.9,0.7,San Mamés,Pablo González
