Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
22.0,Sun,2019-02-03,16:15,Betis,1.0,1–0,0.7,Atlético Madrid,50864.0,Estadio Benito Villamarín,David Medié
22.0,Sun,2019-02-03,18:30,Eibar,1.7,3–0,0.2,Girona,4419.0,Estadio Municipal de Ipurúa,José González
22.0,Sun,2019-02-03,20:45,Real Madrid,2.5,3–0,0.6,Alavés,53132.0,Estadio Santiago Bernabéu,Santiago Jaime
22.0,Mon,2019-02-04,21:00,Rayo Vallecano,1.7,1–2,1.3,Leganés,11435.0,Estadio del Rayo Vallecano,Juan Martínez
23.0,Fri,2019-02-08,21:00,Valladolid,0.6,0–0,1.2,Villarreal,16842.0,Estadio Municipal José Zorrilla,Alejandro Hernández
23.0,Sat,2019-02-09,13:00,Getafe,2.7,3–1,0.9,Celta Vigo,9918.0,Coliseum Alfonso Pérez,Pablo González
23.0,Sat,2019-02-09,16:15,Atlético Madrid,1.1,1–3,1.6,Real Madrid,67752.0,Estadio Wanda Metropolitano,Daniel Ask
23.0,Sat,2019-02-09,18:30,Espanyol,2.0,2–1,0.6,Rayo Vallecano,22104.0,RCDE Stadium,Eduardo Prieto
23.0,Sat,2019-02-09,20:45,Girona,1.4,0–2,0.6,Huesca,10662.0,Estadi Municipal de Montilivi,Adrián Cordero
23.0,Sun,2019-02-10,12:00,Leganés,1.6,3–0,0.1,Betis,11381.0,Estadio Municipal de Butarque,Hsu Jason
23.0,Sun,2019-02-10,16:15,Valencia,1.5,0–0,0.5,Real Sociedad,38885.0,Estadio de Mestalla,Mario Melero
23.0,Sun,2019-02-10,18:30,Sevilla,1.7,2–2,1.3,Eibar,36343.0,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias
23.0,Sun,2019-02-10,20:45,Athletic Club,1.3,0–0,0.7,Barcelona,47557.0,San Mamés,Carlos del Cerro
23.0,Mon,2019-02-11,21:00,Alavés,1.7,2–0,0.3,Levante,13691.0,Estadio de Mendizorroza,Alberto Undiano
24.0,Fri,2019-02-15,21:00,Eibar,1.8,2–2,0.7,Getafe,4449.0,Estadio Municipal de Ipurúa,David Medié
24.0,Sat,2019-02-16,13:00,Celta Vigo,1.6,1–4,2.8,Levante,15479.0,Estadio de Balaídos,Santiago Jaime
24.0,Sat,2019-02-16,16:15,Rayo Vallecano,1.0,0–1,0.2,Atlético Madrid,13880.0,Estadio del Rayo Vallecano,Jesús Gil
24.0,Sat,2019-02-16,18:30,Real Sociedad,1.7,3–0,1.2,Leganés,22997.0,Estadio Municipal de Anoeta,José Luis Munuera
24.0,Sat,2019-02-16,20:45,Barcelona,3.7,1–0,0.4,Valladolid,67435.0,Camp Nou,Juan Martínez
24.0,Sun,2019-02-17,12:00,Real Madrid,1.8,1–2,2.6,Girona,68099.0,Estadio Santiago Bernabéu,Guillermo Cuadra
24.0,Sun,2019-02-17,16:15,Valencia,1.7,0–0,0.4,Espanyol,39564.0,Estadio de Mestalla,Ricardo de Burgos
24.0,Sun,2019-02-17,18:30,Villarreal,1.6,3–0,2.6,Sevilla,17402.0,Estadio de la Cerámica,José González
24.0,Sun,2019-02-17,20:45,Betis,3.1,1–1,1.2,Alavés,43455.0,Estadio Benito Villamarín,Antonio Matéu Lahoz
24.0,Mon,2019-02-18,21:00,Huesca,1.2,0–1,1.4,Athletic Club,6729.0,Estadio El Alcoraz,José Sánchez
25.0,Fri,2019-02-22,21:00,Espanyol,0.8,1–1,0.8,Huesca,20078.0,RCDE Stadium,Alejandro Hernández
25.0,Sat,2019-02-23,13:00,Getafe,1.3,2–1,0.8,Rayo Vallecano,11207.0,Coliseum Alfonso Pérez,Hsu Jason
25.0,Sat,2019-02-23,16:15,Sevilla,1.6,2–4,1.8,Barcelona,40661.0,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz
25.0,Sat,2019-02-23,18:30,Alavés,1.4,0–0,0.5,Celta Vigo,18882.0,Estadio de Mendizorroza,Carlos del Cerro
25.0,Sat,2019-02-23,20:45,Athletic Club,1.3,1–0,0.6,Eibar,43363.0,San Mamés,Mario Melero
25.0,Sun,2019-02-24,12:00,Leganés,1.8,1–1,0.5,Valencia,11425.0,Estadio Municipal de Butarque,Daniel Ask
25.0,Sun,2019-02-24,16:15,Atlético Madrid,1.2,2–0,1.2,Villarreal,59114.0,Estadio Wanda Metropolitano,Alberto Undiano
